startup_id,startup_name,degree,betweenness,closeness
262146,MisDescuentos.com,0.0019404915912031048,1674.9493955230573,0.23449379751900762
262151,Wooroos.com,0.00129366106080207,0.0,0.23416583416583417
16408,Oomba,0.03880983182406209,0.0,0.24229894562745505
213018,SayHome,0.00258732212160414,0.0,0.18272528843155597
213022,Endeavor Global,0.04657179818887452,0.0,0.249467858663261
73776,I-Solution,0.06015523932729625,0.0,0.3391203703703704
73777,Ok-Compra,0.06015523932729625,0.0,0.3391203703703704
73778,V-commex.com,0.06015523932729625,0.0,0.3391203703703704
57398,Banco Santander,0.0019404915912031048,0.0,0.23449379751900762
81975,Netoven,0.00129366106080207,0.0,0.6666666666666666
311363,emBlue Email Marketing,0.000646830530401035,0.0,0.21425959780621573
180301,Officenet,0.00517464424320828,0.3333333333333333,0.24611507769844604
180302,Quasar Ventures,0.10802069857697283,67183.25545376985,0.3181324647122693
180303,Wanako Games,0.02069857697283312,2065.584533012082,0.3032341526520052
131153,"Cloudadmin, Inc",0.02328589909443726,0.0,0.29844665138782783
49247,Lend Lease,0.00129366106080207,0.0,1.0
65640,Fontacto,0.013583441138421734,0.0,0.29118012422360245
90218,Ofelia Feliz,0.00646830530401035,3638.9046523159013,0.3073695253081563
90221,Canciller?a Argentina,0.00258732212160414,0.0,0.24668490844032834
90222,DiReggio Advertising,0.00258732212160414,0.0,0.24668490844032834
57456,Media Publisher (Qumu),0.009702457956015523,0.0,0.27687219466099694
196728,Falabella Retail,0.00129366106080207,0.0,0.22260208926875594
516219,Rebagg,0.018111254851228976,0.0,0.2762847713342763
49276,Senzari,0.020051746442432083,0.0,0.29447236180904524
73875,The Fan Machine,0.04139715394566624,0.0,0.33154172560113154
73877,Oony,0.04139715394566624,0.0,0.33154172560113154
73879,Yoquevos,0.04139715394566624,0.0,0.33154172560113154
32922,OLX,0.0038809831824062097,6996.0,0.1320414601171699
204957,Nobleza Obliga,0.000646830530401035,0.0,0.22460712916826372
57512,HP Enterprise Services,0.0019404915912031048,0.0,0.15859269282814614
82089,Devicescape,0.0019404915912031048,0.0,0.2441666666666667
426155,Sincronas,0.00258732212160414,1.0,1.0
16570,Foursquare,0.0038809831824062097,0.0,0.24386183936745734
336074,Guala,0.007761966364812419,0.0,0.27173661024808715
49355,Airespace (Acquired by Cisco),0.009702457956015523,0.0,0.27687219466099694
65744,Globant,0.015523932729624839,24455.766337048044,0.2636077372919478
32981,Vostu,0.019404915912031046,10196.311896666313,0.29278041468898325
499928,+OTROS,0.00129366106080207,0.0,0.3846153846153846
172259,Winkal,0.0019404915912031048,0.0,0.261199019389347
237801,"Canara, Inc.",0.0019404915912031048,0.0,0.23240134840372795
237802,"Anonymizer, Inc",0.0019404915912031048,0.0,0.23240134840372795
196843,Tutum,0.0019404915912031048,0.0,0.23098147418210488
65784,Pikhub,0.02199223803363519,11.97258996475493,0.292123629112662
33026,AdChina,0.04657179818887452,0.0,0.249467858663261
147715,Baker Hughes,0.00129366106080207,0.0,0.1729123635290646
237831,BTCJam,0.03557567917205692,918.2111986054898,0.2855750487329435
36908,Bigpoint,0.014230271668822769,0.0,0.2597517730496454
229644,Founders Place Palermo,0.005821474773609315,3506.999999999999,0.2947686116700201
229645,Founders Latam ,0.0038809831824062097,0.0,0.29454636843427995
196884,Market-Plus,0.0019404915912031048,0.0,0.23070866141732282
426263,Universidad de Buenos Aires,0.003234152652005175,3907.3108540791045,0.24325446243254462
213275,SELR8R,0.03880983182406209,0.0,0.24229894562745505
205085,Vumii Imaging ,0.003234152652005175,0.0,1.0
33058,Playfish,0.014230271668822769,0.0,0.2597517730496454
106796,El Cronista,0.0019404915912031048,0.0,0.20418118466898955
106797,La Nacion,0.007761966364812419,9101.286817198405,0.2219276652149214
295221,Uomotors,0.000646830530401035,0.0,0.5714285714285714
115002,mobiU,0.0019404915912031048,0.0,1.0
24893,The Social Radio,0.0724450194049159,2489.944046772173,0.3497463443748135
123201,Eventdoo,0.00517464424320828,0.0,0.30120791570290417
57678,Solar Cells Inc (Former First Solar),0.0038809831824062097,0.0,1.0
57679,Alternative Resource Electric Corp,0.0038809831824062097,0.0,1.0
57680,Advanced Technology Industries Inc,0.0038809831824062097,0.0,1.0
57681,Enviromental Prototype Homes of Tomorrow Inc,0.0038809831824062097,0.0,1.0
385363,Cluster Tucuman Technology,0.00258732212160414,0.0,0.1349763906483934
57684,EPHOTinc,0.0038809831824062097,0.0,1.0
164188,Aurantium Capital,0.0019404915912031048,0.0,0.28952569169960474
266298,Zolvers,0.01034928848641656,6154.034424896239,0.29966760419330096
24929,Shoplins,0.0685640362225097,83.27924762390856,0.3439976518931611
246114,Moolby,0.00129366106080207,0.0,1.0
33123,Indiegogo,0.00258732212160414,0.0,1.0
106854,Flextracker,0.0019404915912031048,0.0,0.24783252273207867
311655,Funnely,0.11448900388098318,51163.39451409518,0.37147385103011094
270696,Eachnet (acquired by eBay),0.04657179818887452,0.0,0.249467858663261
164204,State,0.04657179818887452,0.0,0.249467858663261
33133,Qik,0.0278137128072445,386.2687772724661,0.30457380457380456
33135,Microsoft,0.021345407503234153,40731.39726701425,0.30616509926854757
418161,Ribbit Capital,0.018111254851228976,0.0,0.28038277511961723
360823,MediaMark,0.0019404915912031048,0.0,1.0
33146,Peixe Urbano,0.0278137128072445,386.2687772724661,0.30457380457380456
24959,Piktochart,0.03880983182406209,0.0,0.24229894562745505
123266,ONtheGO Platforms,0.04657179818887452,0.0,0.249467858663261
270723,Pi-Coral,0.04657179818887452,0.0,0.249467858663261
