startup_id,startup_name,degree,betweenness,closeness
208898,Rouge Reel,0.006544502617801047,0.0,0.6470588235294118
477189,GameMiles / Miles &amp; Points Entertainment,0.003926701570680628,0.0,1.0
477190,MobyDigital,0.003926701570680628,0.0,1.0
108553,CME Group,0.005235602094240838,3.0,1.0
618511,kurv,0.002617801047120419,0.0,1.0
481296,ClasApp,0.0013089005235602095,0.0,1.0
518162,US Nuclear Regulatory Commission,0.002617801047120419,0.0,0.6666666666666666
505878,NetNet Social,0.005235602094240838,0.0,1.0
579613,PetalDrop Mineral Water,0.0013089005235602095,0.0,1.0
213022,Endeavor Global,0.09424083769633508,0.0,0.9090909090909091
229070,Geniusly,0.04712041884816754,0.0,0.1912889935256033
36897,Ecosense Lighting,0.09424083769633508,0.0,0.9090909090909091
36899,The Savvy Source,0.09424083769633508,0.0,0.9090909090909091
280612,Athleta (sold to GAP),0.09424083769633508,0.0,0.9090909090909091
36902,Caisfunds,0.09424083769633508,0.0,0.9090909090909091
280615,Color Kinetics (IPO & sold to Philipps),0.09424083769633508,0.0,0.9090909090909091
509992,Actitud Web,0.0013089005235602095,0.0,0.16718106995884774
280617,Internet Securities (sold to Euromoney),0.09424083769633508,0.0,0.9090909090909091
38955,Telefonica,0.010471204188481676,1284.0,0.24109792284866471
280620,aQuantive (IPO & sold to Microsoft),0.09424083769633508,0.0,0.9090909090909091
280621,Violin Memory (IPO),0.09424083769633508,0.0,0.9090909090909091
354355,Con Vista al Mar,0.002617801047120419,0.0,1.0
81975,Netoven,0.002617801047120419,0.0,0.6666666666666666
501820,feria,0.0013089005235602095,0.0,1.0
356414,Oficinamoderna.com,0.005235602094240838,0.0,0.18227706113292202
317503,"Handouts, Inc",0.010471204188481676,0.3333333333333333,0.5263157894736842
184384,Red Brick Systems,0.007853403141361256,0.0,1.0
274498,Exo,0.09424083769633508,0.0,0.9090909090909091
174147,MTV/Viacom Media Networks,0.005235602094240838,0.0,0.19472738166566805
71752,HP Software,0.003926701570680628,0.0,0.5599999999999999
180301,Officenet,0.010471204188481676,0.3333333333333333,0.5263157894736842
180302,Quasar Ventures,0.10209424083769633,140.3333333333333,0.9756097560975611
180303,Wanako Games,0.009162303664921465,0.0,0.5228758169934641
131153,"Cloudadmin, Inc",0.04712041884816754,0.0,0.1912889935256033
264547,Survmetrics,0.04712041884816754,0.0,0.1912889935256033
38997,Toyota,0.009162303664921465,0.0,0.17105263157894737
223318,The Bubble,0.04712041884816754,0.0,0.1912889935256033
58041,Wound Care Technologies,0.015706806282722512,0.0,0.2191503708698584
493583,Lookeate,0.007853403141361256,8.0,1.0
20573,Planwise,0.002617801047120419,0.0,0.53125
63582,United Virtualities,0.005235602094240838,0.0,1.0
49247,Lend Lease,0.002617801047120419,0.0,1.0
487520,451,0.005235602094240838,0.0,0.7
63586,Gamifier,0.04057591623036649,0.0,0.23861967694566813
551092,VMN Software Critico,0.006544502617801047,0.0,0.1774017467248908
487524,Zyk?sthenia,0.005235602094240838,0.0,0.7
311655,Funnely,0.04712041884816754,0.0,0.1912889935256033
512109,Red Link,0.006544502617801047,0.0,0.1774017467248908
554685,Fresh Choice,0.007853403141361256,0.0,0.6071428571428572
270696,Eachnet (acquired by eBay),0.09424083769633508,0.0,0.9090909090909091
495731,trinkoo,0.002617801047120419,1.0,1.0
469326,MobLabs,0.04057591623036649,0.0,0.23861967694566813
125045,Adsnative,0.09424083769633508,0.0,0.9090909090909091
22648,NXTP Labs,0.07722513089005235,28846.576190476244,0.30009233610341646
53370,Simpli.fi,0.09424083769633508,0.0,0.9090909090909091
47228,Masterfoods,0.009162303664921465,0.0,0.20337922403003755
397438,autominuto.com,0.0013089005235602095,0.0,1.0
288897,Post + BIM,0.009162303664921465,0.0,0.2090032154340836
30850,Sinimanes,0.006544502617801047,0.6666666666666666,0.16137040714995035
372075,Vates,0.007853403141361256,0.0,1.0
235652,Go and Up,0.002617801047120419,0.0,1.0
488470,WpointStudio,0.006544502617801047,0.0,0.128053585500394
379016,Quanthica,0.011780104712041885,28.0,0.8461538461538461
488471,Sourcing Up,0.006544502617801047,0.0,0.128053585500394
505197,Denimtex SRL,0.009162303664921465,0.0,0.6666666666666666
452753,FG Angels Syndicate Fund II,0.09424083769633508,0.0,0.9090909090909091
358548,Real Trends,0.005235602094240838,20800.085714285644,0.3020446096654275
487573,Graion,0.002617801047120419,0.0,0.5833333333333334
127129,Double Doods,0.01832460732984293,646.0,0.20012315270935963
32922,OLX,0.005235602094240838,0.0,0.75
231791,BothMedia,0.005235602094240838,1.0,1.0
127138,T&G Minds,0.002617801047120419,0.0,0.16692347200821778
57512,HP Enterprise Services,0.003926701570680628,0.0,0.6666666666666666
82089,Devicescape,0.003926701570680628,0.0,0.20249221183800623
18602,InsideVault,0.010471204188481676,454.33333333333616,0.2353367125271542
264903,Brainedpage,0.009162303664921465,0.0,0.2230610844200412
553132,CanPharma Labs,0.002617801047120419,0.0,1.0
53421,Lemon,0.002617801047120419,0.0,1.0
53422,BuscaPe,0.007853403141361256,0.0,0.2192982456140351
202927,Shyp,0.09424083769633508,0.0,0.9090909090909091
190642,MyCoffeeBox,0.04712041884816754,0.0,0.1912889935256033
217268,Hexacta,0.005235602094240838,0.0,0.75
551094,Transporte Stelli,0.006544502617801047,0.0,0.1774017467248908
489657,ElectroSmart,0.003926701570680628,10.0,0.5789473684210527
145595,Vinylfy,0.04057591623036649,0.0,0.23861967694566813
227516,Bukeala,0.020942408376963352,2226.0,0.20074119827053738
36900,Fiksu,0.09424083769633508,0.0,0.9090909090909091
