startup_id,startup_name,degree,betweenness,closeness
131076,United States Attorney's Office,0.00016667361140047503,0.0,0.25258710498900333
524295,FSI (FM Solutions) Ltd,8.333680570023751e-05,0.0,0.2519193248594419
392807,Grub Club,0.00041668402850118753,15015.91040499348,0.29232253138103337
262161,ShareLaTeX,0.0035418142422600943,3075.5385944623786,0.3214927660076023
20,CloudSafe,0.0011250468769532064,41333.41575016796,0.3035627338870108
131096,Voucherry,8.333680570023751e-05,0.0,1.0
262169,Caribu,0.00033334722280095006,19472.95170349595,0.27427099044746106
131102,Checkout 51,0.005875244801866745,20987.475573353633,0.3266274492193932
262178,Red Commerce,4.166840285011876e-05,0.0,0.2415858465081263
393255,Bullingdon Capital,0.00025001041710071253,1848.8811856537552,0.27868810585064946
393256,Abstract Generics Limited,0.00020834201425059377,0.0,0.27868454661558106
393257,IV Capital,0.00020834201425059377,0.0,0.27868454661558106
393258,Oxford Computer Consultants,0.00020834201425059377,0.0,0.27868454661558106
43,Lutebox,0.0029167881995083127,130878.48752788808,0.30210857134945795
44,Boomerang (Baydin),0.019459144131005458,0.0,0.3434647106969716
393264,MorningtonMedia,4.166840285011876e-05,0.0,0.24384002503100938
21854,Mimoco,0.003583482645110213,5076.139610376822,0.31410680869440044
131127,Bust'DD,0.0070836284845201885,0.0,0.3135651674091105
131128,Drinksin,0.0012917204883536814,0.0,0.25888312828482957
262203,Antiphony,8.333680570023751e-05,0.0,0.24707867204130618
60,Adaptly,0.0007916996541522563,0.0,0.2767652169501414
262207,Winnow,0.004583524313513063,119403.16085754787,0.3281501421116742
131147,Infinite Analytics,0.00016667361140047503,0.0,0.2808401652530921
91,Fubles,0.0007916996541522563,0.0,0.28610950857502493
393310,Schoolishness,0.00041668402850118753,0.0,0.27404365408283726
131169,RichVibe,0.00041668402850118753,0.0,1.0
131170,Safari Books Online,0.001166715279803325,0.0,0.2869787077343925
131173,Satalia (NPComplete),8.333680570023751e-05,0.0,0.26166778587874134
131175,The Corcoran Group,4.166840285011876e-05,0.0,1.0
305852,Cratejoy,0.0017500729197049876,32151.659124325295,0.3136643284268629
112,Graphicly,0.028209508729530396,90992.6577429944,0.35484185706154975
115,Flavors.me,0.0049585399391641315,0.0,0.31490915388278756
117,RankAbove,0.00012500520855035626,0.0,0.26899986439675044
119,Appstores,0.020459185799408308,123206.58184812253,0.3445330386042473
262270,C&S Wholesale Grocers,0.00012500520855035626,0.0,0.28027023902796155
131200,Palm Beach State College,0.00016667361140047503,0.0,1.0
130,eVenues,0.009458727446976957,69115.17932706448,0.33959474601593626
393348,Trikona Consulting,0.00020834201425059377,0.0,0.2720042880470688
135,VoxImplant,0.006250260427517813,21189.35387707611,0.31880140838897253
262284,Virgin Management Limited,0.00041668402850118753,2800.1289061795414,0.2856002303544317
524431,Plytech,8.333680570023751e-05,0.0,0.23857995670333032
131220,ELLE.com,0.00029167881995083127,0.0,0.25146353830552226
262301,BoomerPPL,0.00016667361140047503,0.0,0.2537797729810197
131231,Creativeoverflow,0.00041668402850118753,0.0,1.0
160,WePow,0.02141755906496104,4676.85621989153,0.34985810713312276
262305,Tennis Australia,0.00025001041710071253,0.0,0.23403045903045902
262306,Urban Retreat,0.00025001041710071253,0.0,0.23403045903045902
262307,MINI Cooper,0.00025001041710071253,0.0,0.23403045903045902
167,DoubleDutch,0.009792074669777908,101453.59932452081,0.33719133417807584
131249,Mantis Energy,0.0006250260427517813,0.0,0.2993073177422673
179,ecomom,0.03383474311429643,219061.37385439736,0.3610237914033288
194,BackType,0.007791991332972207,17307.91894942584,0.3316412602398286
393414,Pinewood Studios,4.166840285011876e-05,0.0,0.1920355539910235
203,Fashiolista,0.0010000416684028501,129.91735904093292,0.2935494719849331
209,Riskpulse,0.027292803866827784,174159.5780999321,0.36089840067479284
213,Pear (formerly Apparel Media Group),0.0034584774365598566,12509.937047316396,0.31150162024810496
214,Enole,0.0004583524313513063,0.0,0.3184850032839524
524505,Ad and Marketing Tech Syndicate,0.0036251510479603315,0.0,0.31513654809872477
262368,Frogify Inc.,0.0007500312513021376,0.0,0.27782233935551226
131299,EasyPost,0.0016667361140047501,0.0,0.2894415705000663
262374,Apperio,0.005750239593316388,86702.53768490074,0.3319692083003712
236,Stipple,0.0030001250052085504,0.0,0.31155499079084514
131309,Huge Thing,0.0015000625026042752,71749.95732964965,0.3025567787914922
238,Curios.me,0.020375848993708073,57133.5956318264,0.34783925525640413
249,Well.ca,0.004291845493562232,7628.116914794681,0.3026784847349951
257,YourJobDone Ltd,8.333680570023751e-05,0.0,1.0
262187,Hale & Hearty,0.00012500520855035626,0.0,0.24411827223198004
393478,Cafe Rio,4.166840285011876e-05,0.0,0.2379866942959974
262408,Sense6 Design,0.0007083628484520189,0.0,0.26739127770902005
268,echoecho,0.0015833993083045127,12242.506140734477,0.3090749422812708
262420,SimCorp,0.00033334722280095006,7830.650273518017,0.2880241813070049
281,Pinterest,0.013625567731988832,33505.06816692692,0.34617276116443246
393499,IT Talent,0.00025001041710071253,0.0,0.2731312271566615
393500,Cititec,0.00025001041710071253,0.0,0.2731312271566615
393501,Intelletec Ltd,0.00025001041710071253,0.0,0.2731312271566615
287,Socialize,0.010583774323930165,34008.460091941,0.33959474601593626
262434,RFIDA,8.333680570023751e-05,0.0,1.0
524580,"Incubator, Accelerator Syndicate",0.0036251510479603315,0.0,0.31513654809872477
109276,Moodyo,0.002208425351056294,0.0,0.2552551849988887
262442,Info Dominion,8.333680570023751e-05,0.0,1.0
131373,Inconcept Media,0.00041668402850118753,0.0,1.0
